outlier_periods,avg_messages,max_messages,avg_iqr_distance,avg_period_q1,avg_period_q3,avg_period_iqr
4,9.25,17,9.0,0.0,0.25,0.25
4,159.25,241,8.45,0.0,17.69,17.69
4,28.5,41,7.72,0.0,3.25,3.25
4,7.25,13,6.75,0.0,0.5,0.5
4,35.25,121,5.94,0.0,5.5,5.5
4,8.25,15,5.88,0.0,0.75,0.75
4,27.5,84,5.56,0.0,4.75,4.75
4,120.25,148,5.28,0.0,19.12,19.12
4,63.25,96,5.01,0.0,11.62,11.62
4,99.0,143,4.81,0.0,17.31,17.31
4,89.25,125,4.6,0.0,15.81,15.81
4,96.25,105,4.08,0.0,19.12,19.12
4,4.0,10,3.75,0.0,0.25,0.25
4,4.0,7,3.5,0.0,0.5,0.5
3,36.33,54,36.0,0.0,0.33,0.33
3,44.0,82,17.37,0.0,7.0,7.0
3,16.33,37,16.0,0.0,0.33,0.33
3,14.33,32,14.0,0.0,0.33,0.33
3,13.33,20,12.67,0.0,0.67,0.67
3,12.33,32,12.33,0.0,0.0,0.0
3,10.0,12,9.67,0.0,0.33,0.33
3,10.67,20,8.33,0.0,1.0,1.0
3,38.0,72,7.94,0.0,6.33,6.33
3,7.67,12,7.67,0.0,0.0,0.0
3,46.67,68,7.46,0.0,7.75,7.75
3,131.0,183,5.92,0.0,18.92,18.92
3,40.67,68,5.37,0.0,7.0,7.0
3,5.33,9,5.0,0.0,0.33,0.33
3,113.33,186,4.85,0.0,18.83,18.83
3,61.67,82,4.26,0.0,12.0,12.0
3,89.67,103,3.74,0.0,18.75,18.75
3,77.33,86,3.67,0.0,16.67,16.67
2,38.5,60,37.5,0.0,1.0,1.0
2,36.5,40,36.0,0.0,0.5,0.5
2,94.0,148,22.52,0.0,11.0,11.0
2,28.0,33,19.25,0.0,1.0,1.0
2,33.0,53,18.75,0.0,1.5,1.5
2,19.0,24,18.5,0.0,0.5,0.5
2,17.5,23,17.0,0.0,0.5,0.5
2,16.0,23,15.5,0.0,0.5,0.5
2,10.0,11,9.0,0.0,1.0,1.0
2,41.0,59,8.73,0.0,4.0,4.0
2,135.0,136,8.7,0.0,14.0,14.0
2,9.0,12,8.5,0.0,0.5,0.5
2,69.5,103,7.54,0.0,11.62,11.62
2,7.5,11,7.0,0.0,0.5,0.5
2,6.5,11,6.0,0.0,0.5,0.5
2,6.0,8,5.5,0.0,0.5,0.5
2,57.0,107,5.05,0.0,11.0,11.0
2,5.5,6,5.0,0.0,0.5,0.5
2,5.0,7,5.0,0.0,0.0,0.0
2,122.5,131,4.93,0.0,20.62,20.62
2,5.0,6,4.5,0.0,0.5,0.5
2,107.0,121,4.21,0.0,20.5,20.5
2,4.0,7,4.0,0.0,0.0,0.0
2,4.5,5,4.0,0.0,0.5,0.5
2,55.5,67,3.98,0.0,11.5,11.5
2,86.0,105,3.7,0.0,18.12,18.12
2,65.0,77,3.61,0.0,14.0,14.0
2,3.5,4,3.5,0.0,0.0,0.0
2,3.0,5,2.5,0.0,0.5,0.5
2,1.5,2,1.5,0.0,0.0,0.0
2,1.0,1,1.0,0.0,0.0,0.0
1,39.0,39,39.0,0.0,0.0,0.0
1,35.0,35,34.0,0.0,1.0,1.0
1,24.0,24,23.0,0.0,1.0,1.0
1,19.0,19,18.0,0.0,1.0,1.0
1,50.0,50,15.67,0.0,3.0,3.0
1,15.0,15,14.0,0.0,1.0,1.0
1,14.0,14,13.0,0.0,1.0,1.0
1,39.0,39,12.0,0.0,3.0,3.0
1,23.0,23,10.5,0.0,2.0,2.0
1,232.0,232,10.05,0.0,21.0,21.0
1,10.0,10,9.0,0.0,1.0,1.0
1,9.0,9,8.0,0.0,1.0,1.0
1,8.0,8,8.0,0.0,0.0,0.0
1,9.0,9,8.0,0.0,1.0,1.0
1,9.0,9,8.0,0.0,1.0,1.0
1,8.0,8,8.0,0.0,0.0,0.0
1,8.0,8,8.0,0.0,0.0,0.0
1,8.0,8,7.0,0.0,1.0,1.0
1,8.0,8,7.0,0.0,1.0,1.0
1,8.0,8,7.0,0.0,1.0,1.0
1,7.0,7,6.0,0.0,1.0,1.0
1,7.0,7,6.0,0.0,1.0,1.0
1,54.0,54,5.75,0.0,8.0,8.0
1,105.0,105,5.56,0.0,16.0,16.0
1,6.0,6,5.0,0.0,1.0,1.0
1,18.0,18,5.0,0.0,3.0,3.0
1,5.0,5,5.0,0.0,0.0,0.0
1,108.0,108,4.4,0.0,20.0,20.0
